id,sport,question,correct_answer,choice_a,choice_b,choice_c,choice_d,difficulty,points,category_tag
1,MLB,Who holds the record for most career home runs,Barry Bonds - 762,Cal Ripken Jr - 2632,Rickey Henderson - 1406,Randy Johnson - 303,Barry Bonds - 762,Easy,1,Records
2,MLB,Which team has won the most World Series titles,New York Yankees - 27,Houston Astros,New York Yankees - 27,Arizona Diamondbacks,Los Angeles Dodgers,Easy,1,Championships
3,MLB,Who is known as The Sultan of Swat,Babe Ruth,Roger Clemens - 7,Chicago Cubs - 108 years,Barry Bonds - 762,Babe Ruth,Easy,1,Players
4,MLB,What year was the first World Series played,1903,1903,1913,1917,1889,Medium,2,History
5,MLB,Who holds the record for most career hits,Pete Rose - 4256,Hank Aaron - 2297,Alex Rodriguez - 25,Vida Blue - 22,Pete Rose - 4256,Easy,1,Records
6,MLB,Which pitcher has the most career wins,Cy Young - 511,Cal Ripken Jr - 2632,Barry Bonds - 762,Cy Young - 511,Jose Canseco,Medium,2,Records
7,MLB,What team did Jackie Robinson debut with,Brooklyn Dodgers,Brooklyn Dodgers,Montreal Expos,Larry Doby,Ron Blomberg,Easy,1,History
8,MLB,Who broke Babe Ruths single season home run record in 1961,Roger Maris - 61,Roger Maris - 61,Miguel Cabrera,Alex Rodriguez - 25,Hank Aaron,Medium,2,Records
9,MLB,Which player has the most stolen bases all time,Rickey Henderson - 1406,Barry Bonds - 688,Walter Johnson - 110,Miguel Cabrera,Rickey Henderson - 1406,Easy,1,Records
10,MLB,What is the name of the MLB championship trophy,Commissioners Trophy,Juan Gonzalez,Miguel Cabrera,Roger Clemens - 7,Commissioners Trophy,Easy,1,Awards
11,MLB,Which team ended the Curse of the Bambino,Boston Red Sox - 2004,Boston Red Sox - 2004,Jackie Robinson,Chicago Cubs - 108 years,William Hoy,Easy,1,History
12,MLB,Who was the first player unanimously elected to the Hall of Fame,Mariano Rivera,Mariano Rivera,Boston Red Sox - 2004,Seattle Pilots,Johnny Damon,Medium,2,History
13,MLB,What is a perfect game,27 batters retired with no hits walks or errors,27 batters retired with no hits walks or errors,Walk off,Fielders intentionally dropping easy pop ups for double plays,Illegal pitching motion advancing runners,Easy,1,Rules
14,MLB,Who has the most career strikeouts,Nolan Ryan - 5714,Nolan Ryan - 5714,Pete Rose - 3562,Vida Blue - 22,Barry Bonds - 762,Easy,1,Records
15,MLB,Which team plays at Wrigley Field,Chicago Cubs,Roger Maris - 61,Golden Sombrero,Babe Ruth - 60 in 1927,Chicago Cubs,Easy,1,Teams
16,MLB,Who won the Triple Crown in 2012,Miguel Cabrera,Walter Johnson - 110,Cal Ripken Jr - 2632,Miguel Cabrera,Bill Dahlen - 975,Medium,2,Records
17,MLB,Which team is known as the Bronx Bombers,New York Yankees,New York Yankees,Reggie Jackson,Ken Griffey Jr,Randy Johnson,Easy,1,Nicknames
18,MLB,What does ERA stand for,Earned Run Average,Inherited Runners,Walks and Hits per Inning Pitched,On base plus slugging,Earned Run Average,Easy,1,Stats
19,MLB,Who was the youngest MVP in MLB history,Vida Blue - 22,Vida Blue - 22,Jose Canseco,Hank Aaron - 2297,Hughie Jennings - 287,Hard,3,Records
20,MLB,Which player hit 70 home runs in 1998,Mark McGwire,Mark McGwire,Alex Rodriguez - 25,Roger Maris - 61,Barry Bonds - 688,Medium,2,Records
21,MLB,Who is the all time saves leader,Mariano Rivera - 652,Mariano Rivera - 652,Sam Crawford - 309,Tris Speaker - 792,Cal Ripken Jr - 2632,Easy,1,Records
22,MLB,What team drafted Derek Jeter,New York Yankees,New York Yankees,Pete Rose - 3562,Arizona Diamondbacks,Batting average around 200,Easy,1,Players
23,MLB,Who threw the fastest recorded pitch,Aroldis Chapman - 105.1 mph,Mark McGwire,Ted Williams - 406,Ty Cobb - .366,Aroldis Chapman - 105.1 mph,Medium,2,Records
24,MLB,What is the distance between bases,90 feet,90 feet,Bunt to score a runner from third,Ball automatically awarded two bases,10 inches,Easy,1,Rules
25,MLB,Who was the first African American player in MLB,Jackie Robinson,1903,Bobby Thomson,Montreal Expos,Jackie Robinson,Easy,1,History
26,MLB,Which team has the longest World Series drought,Chicago Cubs - 108 years,Mariano Rivera,Brooklyn Dodgers,Seattle Pilots,Chicago Cubs - 108 years,Medium,2,History
27,MLB,Who hit the Shot Heard Round the World,Bobby Thomson,Michael Martinez,Bobby Thomson,Mariano Rivera,William Hoy,Hard,3,History
28,MLB,What player was known as Mr October,Reggie Jackson,Randy Johnson,New York Yankees,Ted Williams,Reggie Jackson,Easy,1,Nicknames
29,MLB,Who has the highest career batting average,Ty Cobb - .366,Ty Cobb - .366,Nolan Ryan - 5714,Roger Maris - 61,Babe Ruth - 60 in 1927,Medium,2,Records
30,MLB,What is the term for four strikeouts in one game by a batter,Golden Sombrero,Los Angeles Angels,Robin Ventura,Golden Sombrero,Milwaukee Brewers,Easy,1,Quirky
31,MLB,Which team relocated from Montreal to Washington Nationals,Montreal Expos,Montreal Expos,Brooklyn Dodgers,Mariano Rivera,Johnny Damon,Medium,2,History
32,MLB,Who was the first 40 40 player,Jose Canseco,Nolan Ryan - 5714,Cal Ripken Jr - 2632,Ty Cobb - .366,Jose Canseco,Medium,2,Records
33,MLB,What pitcher threw a no hitter while on LSD according to legend,Dock Ellis,Robin Ventura,Mickey Mantle estimated 565 feet,Batting average around 200,Dock Ellis,Easy,1,Quirky
34,MLB,Who caught the final out of the 2004 World Series,Johnny Damon,Johnny Damon,Michael Martinez,Chicago Cubs - 108 years,William Hoy,Hard,3,History
35,MLB,What is the nickname for a walk off home run,Walk off,90 feet,10 inches,Single double triple and home run in one game,Walk off,Easy,1,Rules
36,MLB,Who was the first player to reach 3000 hits and 500 home runs,Hank Aaron,Mark McGwire,Walter Johnson - 110,Hank Aaron,Barry Bonds - 762,Medium,2,Records
37,MLB,Which stadium is nicknamed The Green Monster home,Fenway Park,Fenway Park,Ty Cobb - .366,New York Mets,Pete Rose - 4256,Easy,1,Stadiums
38,MLB,Who has the most RBIs all time,Hank Aaron - 2297,Walter Johnson - 110,Nolan Ryan - 7,Hank Aaron - 2297,Cal Ripken Jr - 2632,Medium,2,Records
39,MLB,Which player played for both the Yankees and Red Sox and was controversial,Babe Ruth,Mariano Rivera,Babe Ruth,1903,Frank Robinson,Medium,2,History
40,MLB,What is the infield fly rule designed to prevent,Fielders intentionally dropping easy pop ups for double plays,Fair or foul on deep hits,Ball automatically awarded two bases,Illegal pitching motion advancing runners,Fielders intentionally dropping easy pop ups for double plays,Hard,3,Rules
41,MLB,Who won the most Cy Young Awards,Roger Clemens - 7,Roger Clemens - 7,Commissioners Trophy,Miguel Cabrera,Juan Gonzalez,Easy,1,Awards
42,MLB,Which player was known as The Iron Man for consecutive games played,Cal Ripken Jr - 2632,Jose Canseco,Barry Bonds - 762,Cal Ripken Jr - 2632,Fred Lynn,Easy,1,Records
43,MLB,What is the term for hitting for the cycle,Single double triple and home run in one game,10 inches,Substitution involving pitcher and position player,27 batters retired with no hits walks or errors,Single double triple and home run in one game,Easy,1,Rules
44,MLB,Who was the first unanimous MVP in MLB history,Frank Robinson,1903,Frank Robinson,Michael Martinez,Seattle Pilots,Hard,3,History
45,MLB,Which team has a rally monkey as a mascot,Los Angeles Angels,Golden Sombrero,Submarine pitcher,Immaculate Inning,Los Angeles Angels,Easy,1,Quirky
46,MLB,What pitcher has the most no hitters,Nolan Ryan - 7,Pete Rose - 4256,Randy Johnson - 303,Mark McGwire,Nolan Ryan - 7,Easy,1,Records
47,MLB,Who was nicknamed The Big Unit,Randy Johnson,Randy Johnson,Ken Griffey Jr,New York Yankees,Reggie Jackson,Easy,1,Nicknames
48,MLB,What is a balk,Illegal pitching motion advancing runners,Illegal pitching motion advancing runners,90 feet,Single double triple and home run in one game,27 batters retired with no hits walks or errors,Medium,2,Rules
49,MLB,Which player famously charged the mound at Nolan Ryan,Robin Ventura,Los Angeles Angels,Jose Bautista,Batting average around 200,Robin Ventura,Medium,2,Quirky
50,MLB,Who hit the longest recorded home run,Mickey Mantle estimated 565 feet,Batting average around 200,Milwaukee Brewers,Immaculate Inning,Mickey Mantle estimated 565 feet,Hard,3,Quirky
51,MLB,Who was the first player to hit 60 home runs in a season,Babe Ruth - 60 in 1927,Nolan Ryan - 5714,Babe Ruth - 60 in 1927,Roger Clemens,Mariano Rivera - 652,Easy,1,Records
52,MLB,Which team won the 2016 World Series,Chicago Cubs,Houston Astros,Chicago Cubs,Arizona Diamondbacks,New York Yankees,Easy,1,Championships
53,MLB,Who has the most career doubles,Tris Speaker - 792,Cal Ripken Jr - 2632,Jose Canseco,New York Mets - 120 losses in 1962,Tris Speaker - 792,Hard,3,Records
54,MLB,What is the standard height of the pitchers mound,10 inches,10 inches,27 batters retired with no hits walks or errors,90 feet,Illegal pitching motion advancing runners,Medium,2,Rules
55,MLB,Who was the first designated hitter in MLB,Ron Blomberg,Larry Doby,Brooklyn Dodgers,Montreal Expos,Ron Blomberg,Hard,3,History
56,MLB,Which player has the most career games played,Pete Rose - 3562,Jose Canseco,Pete Rose - 4256,Mark McGwire,Pete Rose - 3562,Medium,2,Records
57,MLB,Who won the 2020 World Series,Los Angeles Dodgers,Chicago Cubs,Arizona Diamondbacks,Los Angeles Dodgers,New York Yankees,Easy,1,Championships
58,MLB,Which pitcher had a 20 strikeout game in 1986,Roger Clemens,Randy Johnson - 303,Roger Clemens,Pete Rose - 4256,Hank Aaron - 2297,Medium,2,Records
59,MLB,Who holds the record for most runs scored,Rickey Henderson - 2295,Vida Blue - 22,Trevor Hoffman,Hughie Jennings - 287,Rickey Henderson - 2295,Medium,2,Records
60,MLB,What is the foul pole used to determine,Fair or foul on deep hits,Walk off,90 feet,Fair or foul on deep hits,10 inches,Easy,1,Rules
61,MLB,Which team was formerly known as the Devil Rays,Tampa Bay Rays,Hank Aaron,Tampa Bay Rays,Commissioners Trophy,Houston Astros,Easy,1,Teams
62,MLB,Who won back to back MVP awards in 2012 and 2013,Miguel Cabrera,Juan Gonzalez,Roger Clemens - 7,Commissioners Trophy,Miguel Cabrera,Medium,2,Awards
63,MLB,What is the term for a pitcher striking out three batters on nine pitches,Immaculate Inning,Immaculate Inning,Batting average around 200,Golden Sombrero,Easy fly ball,Medium,2,Quirky
64,MLB,Who has the most career triples,Sam Crawford - 309,Miguel Cabrera,Mariano Rivera - 652,Sam Crawford - 309,Alex Rodriguez - 25,Hard,3,Records
65,MLB,Which team plays at Dodger Stadium,Los Angeles Dodgers,Randy Johnson,Earned Run Average,Bobby Thomson,Los Angeles Dodgers,Easy,1,Teams
66,MLB,Who broke the color barrier in the American League,Larry Doby,Ron Blomberg,Frank Robinson,Johnny Damon,Larry Doby,Medium,2,History
67,MLB,What does WHIP stand for,Walks and Hits per Inning Pitched,Walks and Hits per Inning Pitched,On base plus slugging,Inherited Runners,Earned Run Average,Medium,2,Stats
68,MLB,Who was known as The Kid in MLB,Ken Griffey Jr,Randy Johnson,New York Yankees,Reggie Jackson,Ken Griffey Jr,Easy,1,Nicknames
69,MLB,Which pitcher won 300 games most recently,Randy Johnson - 303,Miguel Cabrera,Roger Maris - 61,New York Mets - 120 losses in 1962,Randy Johnson - 303,Hard,3,Records
70,MLB,Who hit a walk off home run in Game 7 of the 1960 World Series,Bill Mazeroski,Seattle Pilots,Boston Red Sox - 2004,Larry Doby,Bill Mazeroski,Hard,3,History
71,MLB,Which team has the most losses in a single season,New York Mets - 120 losses in 1962,New York Mets - 120 losses in 1962,Jose Canseco,Nolan Ryan - 5714,Nolan Ryan,Hard,3,Records
72,MLB,What is the term for a relief pitcher entering with runners on base,Inherited Runners,Inherited Runners,On base plus slugging,Earned Run Average,Walks and Hits per Inning Pitched,Easy,1,Stats
73,MLB,Who won the 1998 AL MVP,Juan Gonzalez,Juan Gonzalez,Roger Clemens - 7,Commissioners Trophy,Miguel Cabrera,Hard,3,Awards
74,MLB,Which stadium was nicknamed The House That Ruth Built,Yankee Stadium original,1903,Yankee Stadium original,New York Mets - 120 losses in 1962,Ball automatically awarded two bases,Medium,2,Stadiums
75,MLB,Who has the most career shutouts,Walter Johnson - 110,Walter Johnson - 110,Bill Dahlen - 975,Cal Ripken Jr - 2632,Nolan Ryan - 5714,Hard,3,Records
76,MLB,What is a squeeze play,Bunt to score a runner from third,Substitution involving pitcher and position player,Walk off,Fielders intentionally dropping easy pop ups for double plays,Bunt to score a runner from third,Medium,2,Rules
77,MLB,Who was the first pitcher to throw 100 mph officially,Nolan Ryan,Nolan Ryan,Barry Bonds - 762,Bill Dahlen - 975,Roger Clemens,Medium,2,Records
78,MLB,Which team won the 1986 World Series,New York Mets,New York Mets,New York Yankees,Houston Astros,Arizona Diamondbacks,Easy,1,Championships
79,MLB,Who holds the record for most errors by a shortstop,Bill Dahlen - 975,Bill Dahlen - 975,Rickey Henderson - 1406,Rickey Henderson - 2295,Cal Ripken Jr - 2632,Hard,3,Records
80,MLB,What is the Mendoza Line,Batting average around 200,Batting average around 200,Milwaukee Brewers,Golden Sombrero,Mickey Mantle estimated 565 feet,Easy,1,Quirky
81,MLB,Who won the 2017 World Series,Houston Astros,New York Yankees - 27,Houston Astros,Los Angeles Dodgers,Chicago Cubs,Easy,1,Championships
82,MLB,Which player has the most career grand slams,Alex Rodriguez - 25,Barry Bonds - 762,Randy Johnson - 303,Miguel Cabrera,Alex Rodriguez - 25,Medium,2,Records
83,MLB,Who was the first player to win Rookie of the Year and MVP in same season,Fred Lynn,Babe Ruth - 60 in 1927,New York Mets - 120 losses in 1962,Fred Lynn,Hank Aaron - 2297,Hard,3,Records
84,MLB,What is OPS short for,On base plus slugging,On base plus slugging,Inherited Runners,Earned Run Average,Walks and Hits per Inning Pitched,Medium,2,Stats
85,MLB,Which team has a sausage race during games,Milwaukee Brewers,Milwaukee Brewers,Golden Sombrero,Dock Ellis,Batting average around 200,Easy,1,Quirky
86,MLB,Who hit the first home run in MLB history,William Hoy,William Hoy,Larry Doby,Mariano Rivera,Chicago Cubs - 108 years,Hard,3,History
87,MLB,Which player was known as The Splendid Splinter,Ted Williams,Ted Williams,Randy Johnson,Reggie Jackson,Ken Griffey Jr,Easy,1,Nicknames
88,MLB,What is a can of corn,Easy fly ball,Submarine pitcher,Batting average around 200,Jose Bautista,Easy fly ball,Easy,1,Quirky
89,MLB,Who has the most career intentional walks,Barry Bonds - 688,Miguel Cabrera,Barry Bonds - 688,Nolan Ryan - 5714,Hank Aaron - 2297,Hard,3,Records
90,MLB,Which team won the 2009 World Series,New York Yankees,Arizona Diamondbacks,New York Yankees - 27,New York Mets,New York Yankees,Easy,1,Championships
91,MLB,Who was the first closer to record 500 saves,Trevor Hoffman,Trevor Hoffman,Rickey Henderson - 2295,Cal Ripken Jr - 2632,Roger Maris - 61,Medium,2,Records
92,MLB,What is a double switch,Substitution involving pitcher and position player,Fielders intentionally dropping easy pop ups for double plays,Walk off,Substitution involving pitcher and position player,Ball automatically awarded two bases,Hard,3,Rules
93,MLB,Which player famously flipped his bat in 2015 playoffs,Jose Bautista,Submarine pitcher,Jose Bautista,Mickey Mantle estimated 565 feet,Milwaukee Brewers,Easy,1,Quirky
94,MLB,Who has the most career hit by pitches,Hughie Jennings - 287,Pete Rose - 4256,Roger Maris - 61,Cy Young - 511,Hughie Jennings - 287,Hard,3,Records
95,MLB,Which team moved from Seattle to become the Milwaukee Brewers,Seattle Pilots,Seattle Pilots,Montreal Expos,Seattle Mariners,Seattle Seahawks,Medium,2,History
96,MLB,What is a ground rule double,Ball automatically awarded two bases,Fielders intentionally dropping easy pop ups for double plays,Ball automatically awarded two bases,Fair or foul on deep hits,90 feet,Easy,1,Rules
97,MLB,Who won the 2001 World Series,Arizona Diamondbacks,New York Yankees,New York Mets,Los Angeles Dodgers,Arizona Diamondbacks,Medium,2,Championships
98,MLB,Which player has the highest single season batting average since 1941,Ted Williams - 406,Roger Maris - 61,Mark McGwire,Alex Rodriguez - 25,Ted Williams - 406,Hard,3,Records
