id,sport,question,correct_answer,choice_a,choice_b,choice_c,choice_d,difficulty,points,category_tag
1,MLB,Who holds the record for most career home runs,Barry Bonds – 762,Barry Bonds – 762,Derek Jeter,Kobe Bryant,Tim Duncan,Easy,1,Records
2,MLB,Which team has won the most World Series titles,New York Yankees – 27,New York Yankees – 27,Cincinnati Reds,Detroit Tigers,New York Mets,Easy,1,Championships
3,MLB,Who is known as The Sultan of Swat,Babe Ruth,Babe Ruth,Randy Johnson,Mariano Rivera,Tim Duncan,Easy,1,Players
4,MLB,What year was the first World Series played,1903,1903,1893,1908,1883,Medium,2,History
5,MLB,Who holds the record for most career hits,Pete Rose – 4256,Pete Rose – 4256,Alex Rodriguez,Ted Williams,LeBron James,Easy,1,Records
6,MLB,Which pitcher has the most career wins,Cy Young – 511,Cy Young – 511,Willie Mays,Stephen Curry,Ken Griffey Jr,Medium,2,Records
7,MLB,What team did Jackie Robinson debut with,Brooklyn Dodgers,Brooklyn Dodgers,Boston Red Sox,Toronto Blue Jays,St. Louis Cardinals,Easy,1,History
8,MLB,Who broke Babe Ruths single season home run record in 1961,Roger Maris – 61,Roger Maris – 61,Allen Iverson,Kareem Abdul-Jabbar,Alex Rodriguez,Medium,2,Records
9,MLB,Which player has the most stolen bases all time,Rickey Henderson – 1406,Rickey Henderson – 1406,Larry Bird,LeBron James,Shaquille O'Neal,Easy,1,Records
10,MLB,What is the name of the MLB championship trophy,Commissioners Trophy,Commissioners Trophy,Most Valuable Player,Rookie of the Year,Silver Slugger,Easy,1,Awards
11,MLB,Which team ended the Curse of the Bambino,Boston Red Sox – 2004,Boston Red Sox – 2004,New York Mets,Seattle Mariners,Toronto Blue Jays,Easy,1,History
12,MLB,Who was the first player unanimously elected to the Hall of Fame,Mariano Rivera,Mariano Rivera,Stephen Curry,Roger Clemens,Nolan Ryan,Medium,2,History
13,MLB,What is a perfect game,27 batters retired with no hits walks or errors,27 batters retired with no hits walks or errors,Barry Bonds,Stephen Curry,Wilt Chamberlain,Easy,1,Rules
14,MLB,Who has the most career strikeouts,Nolan Ryan – 5714,Nolan Ryan – 5714,LeBron James,Giannis Antetokounmpo,Allen Iverson,Easy,1,Records
15,MLB,Which team plays at Wrigley Field,Chicago Cubs,Chicago Cubs,Kansas City Royals,Colorado Rockies,New York Mets,Easy,1,Teams
16,MLB,Who won the Triple Crown in 2012,Miguel Cabrera,Miguel Cabrera,Larry Bird,Willie Mays,Tim Duncan,Medium,2,Records
17,MLB,Which team is known as the Bronx Bombers,New York Yankees,New York Yankees,Arizona Diamondbacks,Seattle Mariners,Pittsburgh Pirates,Easy,1,Nicknames
18,MLB,What does ERA stand for,Earned Run Average,Earned Run Average,Offensive foul for running into a defender,Walks and Hits per Inning Pitched,Returning ball to backcourt illegally,Easy,1,Stats
19,MLB,Who was the youngest MVP in MLB history,Vida Blue – 22,Vida Blue – 22,Kareem Abdul-Jabbar,Giannis Antetokounmpo,Derek Jeter,Hard,3,Records
20,MLB,Which player hit 70 home runs in 1998,Mark McGwire,Mark McGwire,Charles Barkley,Nolan Ryan,Babe Ruth,Medium,2,Records
21,MLB,Who is the all time saves leader,Mariano Rivera – 652,Mariano Rivera – 652,Stephen Curry,Giannis Antetokounmpo,Charles Barkley,Easy,1,Records
22,MLB,What team drafted Derek Jeter,New York Yankees,New York Yankees,Tampa Bay Rays,Arizona Diamondbacks,Pittsburgh Pirates,Easy,1,Players
23,MLB,Who threw the fastest recorded pitch,Aroldis Chapman – 105.1 mph,Aroldis Chapman – 105.1 mph,Allen Iverson,Larry Bird,Charles Barkley,Medium,2,Records
24,MLB,What is the distance between bases,90 feet,90 feet,Mike Trout,Allen Iverson,Randy Johnson,Easy,1,Rules
25,MLB,Who was the first African American player in MLB,Jackie Robinson,Jackie Robinson,Tim Duncan,Hank Aaron,Kobe Bryant,Easy,1,History
26,MLB,Which team has the longest World Series drought,Chicago Cubs – 108 years,Chicago Cubs – 108 years,San Diego Padres,Arizona Diamondbacks,Chicago White Sox,Medium,2,History
27,MLB,Who hit the Shot Heard Round the World,Bobby Thomson,Bobby Thomson,Mike Trout,Roger Clemens,Magic Johnson,Hard,3,History
28,MLB,What player was known as Mr October,Reggie Jackson,Reggie Jackson,The Big Unit,The Answer,His Airness,Easy,1,Nicknames
29,MLB,Who has the highest career batting average,Ty Cobb – .366,Ty Cobb – .366,Magic Johnson,Mike Trout,Kobe Bryant,Medium,2,Records
30,MLB,What is the term for four strikeouts in one game by a batter,Golden Sombrero,Golden Sombrero,Positioning to secure rebound,Forceful downward score into basket,Illegal pitching motion advancing runners,Easy,1,Quirky
31,MLB,Which team relocated from Montreal to Washington Nationals,Montreal Expos,Montreal Expos,Philadelphia Phillies,Oakland Athletics,Minnesota Twins,Medium,2,History
32,MLB,Who was the first 40 40 player,Jose Canseco,Jose Canseco,LeBron James,Babe Ruth,Kareem Abdul-Jabbar,Medium,2,Records
33,MLB,What pitcher threw a no hitter while on LSD according to legend,Dock Ellis,Dock Ellis,Willie Mays,Michael Jordan,Larry Bird,Easy,1,Quirky
34,MLB,Who caught the final out of the 2004 World Series,Johnny Damon,Johnny Damon,Charles Barkley,Mike Trout,Willie Mays,Hard,3,History
35,MLB,What is the nickname for a walk off home run,Walk off,Walk off,Charles Barkley,Barry Bonds,Nolan Ryan,Easy,1,Rules
36,MLB,Who was the first player to reach 3000 hits and 500 home runs,Hank Aaron,Hank Aaron,Allen Iverson,Willie Mays,Babe Ruth,Medium,2,Records
37,MLB,Which stadium is nicknamed The Green Monster home,Fenway Park,Fenway Park,Yankee Stadium,Madison Square Garden,Chase Center,Easy,1,Stadiums
38,MLB,Who has the most RBIs all time,Hank Aaron – 2297,Hank Aaron – 2297,Michael Jordan,Stephen Curry,LeBron James,Medium,2,Records
39,MLB,Which player played for both the Yankees and Red Sox and was controversial,Babe Ruth,Babe Ruth,Allen Iverson,Magic Johnson,Barry Bonds,Medium,2,History
40,MLB,What is the infield fly rule designed to prevent,Fielders intentionally dropping easy pop ups for double plays,Fielders intentionally dropping easy pop ups for double plays,Illegal pitching motion advancing runners,Returning ball to backcourt illegally,Positioning to secure rebound,Hard,3,Rules
41,MLB,Who won the most Cy Young Awards,Roger Clemens – 7,Roger Clemens – 7,Barry Bonds,Charles Barkley,Allen Iverson,Easy,1,Awards
42,MLB,Which player was known as The Iron Man for consecutive games played,Cal Ripken Jr – 2632,Cal Ripken Jr – 2632,Stephen Curry,Babe Ruth,Michael Jordan,Easy,1,Records
43,MLB,What is the term for hitting for the cycle,Single double triple and home run in one game,Single double triple and home run in one game,Failure to shoot within 24 seconds,Offensive foul for running into a defender,Forceful downward score into basket,Easy,1,Rules
44,MLB,Who was the first unanimous MVP in MLB history,Frank Robinson,Frank Robinson,Shaquille O'Neal,Nolan Ryan,Barry Bonds,Hard,3,History
45,MLB,Which team has a rally monkey as a mascot,Los Angeles Angels,Los Angeles Angels,Washington Nationals,San Francisco Giants,Chicago Cubs,Easy,1,Quirky
46,MLB,What pitcher has the most no hitters,Nolan Ryan – 7,Nolan Ryan – 7,Larry Bird,Kareem Abdul-Jabbar,LeBron James,Easy,1,Records
47,MLB,Who was nicknamed The Big Unit,Randy Johnson,Randy Johnson,LeBron James,Michael Jordan,Larry Bird,Easy,1,Nicknames
48,MLB,What is a balk,Illegal pitching motion advancing runners,Illegal pitching motion advancing runners,Giannis Antetokounmpo,Nolan Ryan,Michael Jordan,Medium,2,Rules
49,MLB,Which player famously charged the mound at Nolan Ryan,Robin Ventura,Robin Ventura,Mike Trout,Randy Johnson,Michael Jordan,Medium,2,Quirky
50,MLB,Who hit the longest recorded home run,Mickey Mantle estimated 565 feet,Mickey Mantle estimated 565 feet,Alex Rodriguez,Ken Griffey Jr,Babe Ruth,Hard,3,Quirky
51,MLB,Who was the first player to hit 60 home runs in a season,Babe Ruth – 60 in 1927,Babe Ruth – 60 in 1927,Wilt Chamberlain,Ted Williams,Barry Bonds,Easy,1,Records
52,MLB,Which team won the 2016 World Series,Chicago Cubs,Chicago Cubs,Oakland Athletics,Kansas City Royals,Colorado Rockies,Easy,1,Championships
53,MLB,Who has the most career doubles,Tris Speaker – 792,Tris Speaker – 792,Kevin Durant,Stephen Curry,Randy Johnson,Hard,3,Records
54,MLB,What is the standard height of the pitchers mound,10 inches,10 inches,Babe Ruth,Michael Jordan,Charles Barkley,Medium,2,Rules
55,MLB,Who was the first designated hitter in MLB,Ron Blomberg,Ron Blomberg,Ken Griffey Jr,Michael Jordan,Barry Bonds,Hard,3,History
56,MLB,Which player has the most career games played,Pete Rose – 3562,Pete Rose – 3562,Michael Jordan,Alex Rodriguez,Randy Johnson,Medium,2,Records
57,MLB,Who won the 2020 World Series,Los Angeles Dodgers,Los Angeles Dodgers,Willie Mays,Mariano Rivera,Kevin Durant,Easy,1,Championships
58,MLB,Which pitcher had a 20 strikeout game in 1986,Roger Clemens,Roger Clemens,Willie Mays,Kareem Abdul-Jabbar,Hank Aaron,Medium,2,Records
59,MLB,Who holds the record for most runs scored,Rickey Henderson – 2295,Rickey Henderson – 2295,Kareem Abdul-Jabbar,Larry Bird,Barry Bonds,Medium,2,Records
60,MLB,What is the foul pole used to determine,Fair or foul on deep hits,Fair or foul on deep hits,Mike Trout,Charles Barkley,Randy Johnson,Easy,1,Rules
61,MLB,Which team was formerly known as the Devil Rays,Tampa Bay Rays,Tampa Bay Rays,St. Louis Cardinals,New York Mets,New York Yankees,Easy,1,Teams
62,MLB,Who won back to back MVP awards in 2012 and 2013,Miguel Cabrera,Miguel Cabrera,Stephen Curry,Randy Johnson,Kevin Durant,Medium,2,Awards
63,MLB,What is the term for a pitcher striking out three batters on nine pitches,Immaculate Inning,Immaculate Inning,Illegal movement without dribbling,Forceful downward score into basket,Walks and Hits per Inning Pitched,Medium,2,Quirky
64,MLB,Who has the most career triples,Sam Crawford – 309,Sam Crawford – 309,Mariano Rivera,Alex Rodriguez,Allen Iverson,Hard,3,Records
65,MLB,Which team plays at Dodger Stadium,Los Angeles Dodgers,Los Angeles Dodgers,Pittsburgh Pirates,Atlanta Braves,Colorado Rockies,Easy,1,Teams
66,MLB,Who broke the color barrier in the American League,Larry Doby,Larry Doby,Babe Ruth,Kareem Abdul-Jabbar,Magic Johnson,Medium,2,History
67,MLB,What does WHIP stand for,Walks and Hits per Inning Pitched,Walks and Hits per Inning Pitched,Positioning to secure rebound,Illegal pitching motion advancing runners,Offensive foul for running into a defender,Medium,2,Stats
68,MLB,Who was known as The Kid in MLB,Ken Griffey Jr,Ken Griffey Jr,Giannis Antetokounmpo,Tim Duncan,Randy Johnson,Easy,1,Nicknames
69,MLB,Which pitcher won 300 games most recently,Randy Johnson – 303,Randy Johnson – 303,Randy Johnson,Ken Griffey Jr,Babe Ruth,Hard,3,Records
70,MLB,Who hit a walk off home run in Game 7 of the 1960 World Series,Bill Mazeroski,Bill Mazeroski,Willie Mays,Barry Bonds,Nolan Ryan,Hard,3,History
71,MLB,Which team has the most losses in a single season,New York Mets – 120 losses in 1962,New York Mets – 120 losses in 1962,Washington Nationals,Houston Astros,Minnesota Twins,Hard,3,Records
72,MLB,What is the term for a relief pitcher entering with runners on base,Inherited Runners,Inherited Runners,Illegal movement without dribbling,Walks and Hits per Inning Pitched,Failure to shoot within 24 seconds,Easy,1,Stats
