Sport,Question,Answer,Difficulty,Points,CategoryTag
MLB,Who holds the record for most career home runs,Barry Bonds - 762,Easy,1,Records
MLB,Which team has won the most World Series titles,New York Yankees - 27,Easy,1,Championships
MLB,Who is known as The Sultan of Swat,Babe Ruth,Easy,1,Players
MLB,What year was the first World Series played,1903,Medium,2,History
MLB,Who holds the record for most career hits,Pete Rose - 4256,Easy,1,Records
MLB,Which pitcher has the most career wins,Cy Young - 511,Medium,2,Records
MLB,What team did Jackie Robinson debut with,Brooklyn Dodgers,Easy,1,History
MLB,Who broke Babe Ruths single season home run record in 1961,Roger Maris - 61,Medium,2,Records
MLB,Which player has the most stolen bases all time,Rickey Henderson - 1406,Easy,1,Records
MLB,What is the name of the MLB championship trophy,Commissioners Trophy,Easy,1,Awards
MLB,Which team ended the Curse of the Bambino,Boston Red Sox - 2004,Easy,1,History
MLB,Who was the first player unanimously elected to the Hall of Fame,Mariano Rivera,Medium,2,History
MLB,What is a perfect game,27 batters retired with no hits walks or errors,Easy,1,Rules
MLB,Who has the most career strikeouts,Nolan Ryan - 5714,Easy,1,Records
MLB,Which team plays at Wrigley Field,Chicago Cubs,Easy,1,Teams
MLB,Who won the Triple Crown in 2012,Miguel Cabrera,Medium,2,Records
MLB,Which team is known as the Bronx Bombers,New York Yankees,Easy,1,Nicknames
MLB,What does ERA stand for,Earned Run Average,Easy,1,Stats
MLB,Who was the youngest MVP in MLB history,Vida Blue - 22,Hard,3,Records
MLB,Which player hit 70 home runs in 1998,Mark McGwire,Medium,2,Records
MLB,Who is the all time saves leader,Mariano Rivera - 652,Easy,1,Records
MLB,What team drafted Derek Jeter,New York Yankees,Easy,1,Players
MLB,Who threw the fastest recorded pitch,Aroldis Chapman - 105.1 mph,Medium,2,Records
MLB,What is the distance between bases,90 feet,Easy,1,Rules
MLB,Who was the first African American player in MLB,Jackie Robinson,Easy,1,History
MLB,Which team has the longest World Series drought,Chicago Cubs - 108 years,Medium,2,History
MLB,Who hit the Shot Heard Round the World,Bobby Thomson,Hard,3,History
MLB,What player was known as Mr October,Reggie Jackson,Easy,1,Nicknames
MLB,Who has the highest career batting average,Ty Cobb - .366,Medium,2,Records
MLB,What is the term for four strikeouts in one game by a batter,Golden Sombrero,Easy,1,Quirky
MLB,Which team relocated from Montreal to Washington Nationals,Montreal Expos,Medium,2,History
MLB,Who was the first 40 40 player,Jose Canseco,Medium,2,Records
MLB,What pitcher threw a no hitter while on LSD according to legend,Dock Ellis,Easy,1,Quirky
MLB,Who caught the final out of the 2004 World Series,Johnny Damon,Hard,3,History
MLB,What is the nickname for a walk off home run,Walk off,Easy,1,Rules
MLB,Who was the first player to reach 3000 hits and 500 home runs,Hank Aaron,Medium,2,Records
MLB,Which stadium is nicknamed The Green Monster home,Fenway Park,Easy,1,Stadiums
MLB,Who has the most RBIs all time,Hank Aaron - 2297,Medium,2,Records
MLB,Which player played for both the Yankees and Red Sox and was controversial,Babe Ruth,Medium,2,History
MLB,What is the infield fly rule designed to prevent,Fielders intentionally dropping easy pop ups for double plays,Hard,3,Rules
MLB,Who won the most Cy Young Awards,Roger Clemens - 7,Easy,1,Awards
MLB,Which player was known as The Iron Man for consecutive games played,Cal Ripken Jr - 2632,Easy,1,Records
MLB,What is the term for hitting for the cycle,Single double triple and home run in one game,Easy,1,Rules
MLB,Who was the first unanimous MVP in MLB history,Frank Robinson,Hard,3,History
MLB,Which team has a rally monkey as a mascot,Los Angeles Angels,Easy,1,Quirky
MLB,What pitcher has the most no hitters,Nolan Ryan - 7,Easy,1,Records
MLB,Who was nicknamed The Big Unit,Randy Johnson,Easy,1,Nicknames
MLB,What is a balk,Illegal pitching motion advancing runners,Medium,2,Rules
MLB,Which player famously charged the mound at Nolan Ryan,Robin Ventura,Medium,2,Quirky
MLB,Who hit the longest recorded home run,Mickey Mantle estimated 565 feet,Hard,3,Quirky
MLB,Who was the first player to hit 60 home runs in a season,Babe Ruth - 60 in 1927,Easy,1,Records
MLB,Which team won the 2016 World Series,Chicago Cubs,Easy,1,Championships
MLB,Who has the most career doubles,Tris Speaker - 792,Hard,3,Records
MLB,What is the standard height of the pitchers mound,10 inches,Medium,2,Rules
MLB,Who was the first designated hitter in MLB,Ron Blomberg,Hard,3,History
MLB,Which player has the most career games played,Pete Rose - 3562,Medium,2,Records
MLB,Who won the 2020 World Series,Los Angeles Dodgers,Easy,1,Championships
MLB,Which pitcher had a 20 strikeout game in 1986,Roger Clemens,Medium,2,Records
MLB,Who holds the record for most runs scored,Rickey Henderson - 2295,Medium,2,Records
MLB,What is the foul pole used to determine,Fair or foul on deep hits,Easy,1,Rules
MLB,Which team was formerly known as the Devil Rays,Tampa Bay Rays,Easy,1,Teams
MLB,Who won back to back MVP awards in 2012 and 2013,Miguel Cabrera,Medium,2,Awards
MLB,What is the term for a pitcher striking out three batters on nine pitches,Immaculate Inning,Medium,2,Quirky
MLB,Who has the most career triples,Sam Crawford - 309,Hard,3,Records
MLB,Which team plays at Dodger Stadium,Los Angeles Dodgers,Easy,1,Teams
MLB,Who broke the color barrier in the American League,Larry Doby,Medium,2,History
MLB,What does WHIP stand for,Walks and Hits per Inning Pitched,Medium,2,Stats
MLB,Who was known as The Kid in MLB,Ken Griffey Jr,Easy,1,Nicknames
MLB,Which pitcher won 300 games most recently,Randy Johnson - 303,Hard,3,Records
MLB,Who hit a walk off home run in Game 7 of the 1960 World Series,Bill Mazeroski,Hard,3,History
MLB,Which team has the most losses in a single season,New York Mets - 120 losses in 1962,Hard,3,Records
MLB,What is the term for a relief pitcher entering with runners on base,Inherited Runners,Easy,1,Stats
MLB,Who won the 1998 AL MVP,Juan Gonzalez,Hard,3,Awards
MLB,Which stadium was nicknamed The House That Ruth Built,Yankee Stadium original,Medium,2,Stadiums
MLB,Who has the most career shutouts,Walter Johnson - 110,Hard,3,Records
MLB,What is a squeeze play,Bunt to score a runner from third,Medium,2,Rules
MLB,Who was the first pitcher to throw 100 mph officially,Nolan Ryan,Medium,2,Records
MLB,Which team won the 1986 World Series,New York Mets,Easy,1,Championships
MLB,Who holds the record for most errors by a shortstop,Bill Dahlen - 975,Hard,3,Records
MLB,What is the Mendoza Line,Batting average around 200,Easy,1,Quirky
MLB,Who won the 2017 World Series,Houston Astros,Easy,1,Championships
MLB,Which player has the most career grand slams,Alex Rodriguez - 25,Medium,2,Records
MLB,Who was the first player to win Rookie of the Year and MVP in same season,Fred Lynn,Hard,3,Records
MLB,What is OPS short for,On base plus slugging,Medium,2,Stats
MLB,Which team has a sausage race during games,Milwaukee Brewers,Easy,1,Quirky
MLB,Who hit the first home run in MLB history,William Hoy,Hard,3,History
MLB,Which player was known as The Splendid Splinter,Ted Williams,Easy,1,Nicknames
MLB,What is a can of corn,Easy fly ball,Easy,1,Quirky
MLB,Who has the most career intentional walks,Barry Bonds - 688,Hard,3,Records
MLB,Which team won the 2009 World Series,New York Yankees,Easy,1,Championships
MLB,Who was the first closer to record 500 saves,Trevor Hoffman,Medium,2,Records
MLB,What is a double switch,Substitution involving pitcher and position player,Hard,3,Rules
MLB,Which player famously flipped his bat in 2015 playoffs,Jose Bautista,Easy,1,Quirky
MLB,Who has the most career hit by pitches,Hughie Jennings - 287,Hard,3,Records
MLB,Which team moved from Seattle to become the Milwaukee Brewers,Seattle Pilots,Medium,2,History
MLB,What is a ground rule double,Ball automatically awarded two bases,Easy,1,Rules
MLB,Who won the 2001 World Series,Arizona Diamondbacks,Medium,2,Championships
MLB,Which player has the highest single season batting average since 1941,Ted Williams - 406,Hard,3,Records
MLB,What is the term for a pitcher who throws sidearm,Submarine pitcher,Medium,2,Quirky
MLB,Who caught the final out of the 2016 World Series,Michael Martinez,Hard,3,History
NBA,Who is the all time leading scorer in NBA history,LeBron James - over 39000 points,Easy,1,Records
NBA,Which team has won the most NBA championships,Boston Celtics - 17 tied,Easy,1,Championships
NBA,Who is known as His Airness,Michael Jordan,Easy,1,Nicknames
NBA,What year was the NBA founded,1946,Medium,2,History
NBA,Who has the most career assists,John Stockton - 15806,Easy,1,Records
NBA,Which team drafted Kobe Bryant,Charlotte Hornets traded to Los Angeles Lakers,Medium,2,History
NBA,Who has the most career rebounds,Wil Chamberlain - 23924,Medium,2,Records
NBA,What is a triple double,Double digits in three statistical categories,Easy,1,Rules
NBA,Who won the 2016 NBA Finals,Cleveland Cavaliers,Easy,1,Championships
NBA,Which player scored 100 points in a single game,Wil Chamberlain - 100,Easy,1,Records
NBA,Who has the most MVP awards,Kareem Abdul Jabbar - 6,Easy,1,Awards
NBA,What team is known as the Showtime Lakers,Los Angeles Lakers,Easy,1,Nicknames
NBA,Who was the first overall pick in the 2003 NBA Draft,LeBron James,Easy,1,History
NBA,Which player is known as The Greek Freak,Giannis Antetokounmpo,Easy,1,Nicknames
NBA,Who has the most career steals,John Stockton - 3265,Medium,2,Records
NBA,What is the length of an NBA game,48 minutes,Easy,1,Rules
NBA,Who won the 2020 NBA Finals,Los Angeles Lakers,Easy,1,Championships
NBA,Which player is known as The Answer,Allen Iverson,Easy,1,Nicknames
NBA,Who holds the record for most three pointers made,Stephen Curry,Easy,1,Records
NBA,What is a slam dunk,Forceful downward score into basket,Easy,1,Rules
NBA,Who was the Finals MVP in 1998,Michael Jordan,Medium,2,Championships
NBA,Which team relocated from Seattle to become the Oklahoma City Thunder,Seattle SuperSonics,Medium,2,History
NBA,Who has the highest career points per game average,Michael Jordan - 30.1,Medium,2,Records
NBA,What is a technical foul,Violation of sportsmanship rules,Medium,2,Rules
NBA,Who won Rookie of the Year in 2019,Luka Doncic,Medium,2,Awards
NBA,Which player was known as Big Fundamental,Tim Duncan,Easy,1,Nicknames
NBA,Who has the most career blocks,Hakeem Olajuwon - 3830,Hard,3,Records
NBA,What is the three point line distance,23.75 feet average,Medium,2,Rules
NBA,Who won the 2019 NBA Finals,Toronto Raptors,Easy,1,Championships
NBA,Which player is known as KD,Kevin Durant,Easy,1,Nicknames
NBA,Who has the most triple doubles,Russell Westbrook,Medium,2,Records
NBA,What is a shot clock violation,Failure to shoot within 24 seconds,Easy,1,Rules
NBA,Who was the first player to win MVP unanimously,Stephen Curry - 2016,Medium,2,Records
NBA,Which team has a dinosaur mascot,Toronto Raptors,Easy,1,Quirky
NBA,Who has the most career turnovers,LeBron James,Hard,3,Records
NBA,What is goaltending,Illegal interference with ball on way down,Medium,2,Rules
NBA,Who won the 2008 NBA Finals,Boston Celtics,Easy,1,Championships
NBA,Which player is known as The Beard,James Harden,Easy,1,Nicknames
NBA,Who has the most career games played,Robert Parish - 1611,Hard,3,Records
NBA,What is a fast break,Quick transition scoring opportunity,Easy,1,Rules
NBA,Who won MVP in 2000,Shaquille O Neal,Medium,2,Awards
NBA,Which team drafted Dirk Nowitzki,Milwaukee Bucks traded to Dallas Mavericks,Hard,3,History
NBA,Who has the most career free throws made,Karl Malone - 9787,Medium,2,Records
NBA,What is a double dribble,Illegal second dribble after stopping,Easy,1,Rules
NBA,Who was Finals MVP in 2013,LeBron James,Medium,2,Championships
NBA,Which player is known as The Mailman,Karl Malone,Easy,1,Nicknames
NBA,Who has the most points in a playoff game,Michael Jordan - 63,Hard,3,Records
NBA,What is a backcourt violation,Returning ball to backcourt illegally,Medium,2,Rules
