Sport,Question,Answer,Difficulty,Points,CategoryTag
NBA,Who holds the record for most points scored in a rookie season,Wil Chamberlain - 2707,Hard,3,Records
NBA,Which team won the 2021 NBA Finals,Milwaukee Bucks,Easy,1,Championships
NBA,Who has the most career field goals made,Kareem Abdul Jabbar - 15837,Medium,2,Records
NBA,What is the width of an NBA court,50 feet,Medium,2,Rules
NBA,Who was the first player to enter the NBA straight from high school,Moses Malone,Hard,3,History
NBA,Which player is known as The Admiral,David Robinson,Easy,1,Nicknames
NBA,Who has the most career minutes played,Kareem Abdul Jabbar - over 57000,Hard,3,Records
NBA,What is a flagrant foul,Excessive or violent contact,Medium,2,Rules
NBA,Who won the 2011 NBA Finals,Dallas Mavericks,Easy,1,Championships
NBA,Which player is known as The Dream,Hakeem Olajuwon,Easy,1,Nicknames
NBA,Who has the most career offensive rebounds,Moses Malone - 7382,Hard,3,Records
NBA,What is the diameter of a basketball hoop,18 inches,Easy,1,Rules
NBA,Who was the first overall pick in the 1997 NBA Draft,Tim Duncan,Medium,2,History
NBA,Which team drafted Kevin Garnett,Minnesota Timberwolves,Medium,2,Players
NBA,Who has the most career playoff points,LeBron James - over 8000,Medium,2,Records
NBA,What is a charge foul,Offensive foul for running into a defender,Easy,1,Rules
NBA,Who won the 2014 NBA Finals,San Antonio Spurs,Easy,1,Championships
NBA,Which player is known as The Truth,Paul Pierce,Easy,1,Nicknames
NBA,Who has the most career defensive rebounds,Tim Duncan,Hard,3,Records
NBA,What is a travel violation,Illegal movement without dribbling,Easy,1,Rules
NBA,Who won MVP in 1992,Michael Jordan,Medium,2,Awards
NBA,Which team has the most wins in a single season,Golden State Warriors - 73,Easy,1,Records
NBA,Who has the most career playoff assists,Magic Johnson,Hard,3,Records
NBA,What is a Euro step,Two step move to evade defenders,Easy,1,Quirky
NBA,Who won the 2006 NBA Finals,Miami Heat,Easy,1,Championships
NBA,Which player is known as The Round Mound of Rebound,Charles Barkley,Easy,1,Nicknames
NBA,Who has the most career fouls committed,Karl Malone,Hard,3,Records
NBA,What is a shot fake,Pretending to shoot to trick defender,Easy,1,Rules
NBA,Who was the youngest player drafted number one overall,LeBron James - 18 years old,Medium,2,Records
NBA,Which team relocated from New Jersey to Brooklyn,Brooklyn Nets,Easy,1,History
NBA,Who has the most career playoff rebounds,Bill Russell,Hard,3,Records
NBA,What is a box out,Positioning to secure rebound,Easy,1,Rules
NBA,Who won the 1999 NBA Finals,San Antonio Spurs,Easy,1,Championships
NBA,Which player is known as The Klaw,Kawhi Leonard,Easy,1,Nicknames
NBA,Who has the most career assists in a single season,John Stockton - 1164,Hard,3,Records
NBA,What is a pick and roll,Screen then move to basket play,Easy,1,Rules
NBA,Who won MVP in 2017,Russell Westbrook,Medium,2,Awards
NBA,Which team drafted Stephen Curry,Golden State Warriors,Easy,1,Players
NBA,Who has the most career points in the Finals,LeBron James,Hard,3,Records
NBA,What is a turnover,Loss of possession,Easy,1,Rules
NBA,Who won the 2004 NBA Finals,Detroit Pistons,Easy,1,Championships
NBA,Which player is known as The Diesel,Shaquille O Neal,Easy,1,Nicknames
NBA,Who has the most career playoff triple doubles,Magic Johnson,Hard,3,Records
NBA,What is an alley oop,Pass caught and dunked mid air,Easy,1,Quirky
NBA,Who won MVP in 2022,Nikola Jokic,Medium,2,Awards
NBA,Which team has a mascot named Benny the Bull,Chicago Bulls,Easy,1,Quirky
NBA,Who has the most career blocks in a single season,Mark Eaton - 456,Hard,3,Records
NBA,What is a sixth man,A key bench player,Easy,1,Roles
NBA,Who won the 1987 NBA Finals,Los Angeles Lakers,Easy,1,Championships
NBA,Which player is known as King James,LeBron James,Easy,1,Nicknames
