Sport,Question,Answer,Difficulty,Points,CategoryTag
MLB,Who holds the record for most career home runs,Barry Bonds - 762,Easy,1,Records
MLB,Which team has won the most World Series titles,New York Yankees - 27,Easy,1,Championships
MLB,Who is known as The Sultan of Swat,Babe Ruth,Easy,1,Players
MLB,What year was the first World Series played,1903,Medium,2,History
MLB,Who holds the record for most career hits,Pete Rose - 4256,Easy,1,Records
MLB,Which pitcher has the most career wins,Cy Young - 511,Medium,2,Records
MLB,What team did Jackie Robinson debut with,Brooklyn Dodgers,Easy,1,History
MLB,Who broke Babe Ruths single season home run record in 1961,Roger Maris - 61,Medium,2,Records
MLB,Which player has the most stolen bases all time,Rickey Henderson - 1406,Easy,1,Records
MLB,What is the name of the MLB championship trophy,Commissioners Trophy,Easy,1,Awards
MLB,Which team ended the Curse of the Bambino,Boston Red Sox - 2004,Easy,1,History
MLB,Who was the first player unanimously elected to the Hall of Fame,Mariano Rivera,Medium,2,History
MLB,What is a perfect game,27 batters retired with no hits walks or errors,Easy,1,Rules
MLB,Who has the most career strikeouts,Nolan Ryan - 5714,Easy,1,Records
MLB,Which team plays at Wrigley Field,Chicago Cubs,Easy,1,Teams
MLB,Who won the Triple Crown in 2012,Miguel Cabrera,Medium,2,Records
MLB,Which team is known as the Bronx Bombers,New York Yankees,Easy,1,Nicknames
MLB,What does ERA stand for,Earned Run Average,Easy,1,Stats
MLB,Who was the youngest MVP in MLB history,Vida Blue - 22,Hard,3,Records
MLB,Which player hit 70 home runs in 1998,Mark McGwire,Medium,2,Records
MLB,Who is the all time saves leader,Mariano Rivera - 652,Easy,1,Records
MLB,What team drafted Derek Jeter,New York Yankees,Easy,1,Players
MLB,Who threw the fastest recorded pitch,Aroldis Chapman - 105.1 mph,Medium,2,Records
MLB,What is the distance between bases,90 feet,Easy,1,Rules
MLB,Who was the first African American player in MLB,Jackie Robinson,Easy,1,History
MLB,Which team has the longest World Series drought,Chicago Cubs - 108 years,Medium,2,History
MLB,Who hit the Shot Heard Round the World,Bobby Thomson,Hard,3,History
MLB,What player was known as Mr October,Reggie Jackson,Easy,1,Nicknames
MLB,Who has the highest career batting average,Ty Cobb - .366,Medium,2,Records
MLB,What is the term for four strikeouts in one game by a batter,Golden Sombrero,Easy,1,Quirky
MLB,Which team relocated from Montreal to Washington Nationals,Montreal Expos,Medium,2,History
MLB,Who was the first 40 40 player,Jose Canseco,Medium,2,Records
MLB,What pitcher threw a no hitter while on LSD according to legend,Dock Ellis,Easy,1,Quirky
MLB,Who caught the final out of the 2004 World Series,Johnny Damon,Hard,3,History
MLB,What is the nickname for a walk off home run,Walk off,Easy,1,Rules
MLB,Who was the first player to reach 3000 hits and 500 home runs,Hank Aaron,Medium,2,Records
MLB,Which stadium is nicknamed The Green Monster home,Fenway Park,Easy,1,Stadiums
MLB,Who has the most RBIs all time,Hank Aaron - 2297,Medium,2,Records
MLB,Which player played for both the Yankees and Red Sox and was controversial,Babe Ruth,Medium,2,History
MLB,What is the infield fly rule designed to prevent,Fielders intentionally dropping easy pop ups for double plays,Hard,3,Rules
MLB,Who won the most Cy Young Awards,Roger Clemens - 7,Easy,1,Awards
MLB,Which player was known as The Iron Man for consecutive games played,Cal Ripken Jr - 2632,Easy,1,Records
MLB,What is the term for hitting for the cycle,Single double triple and home run in one game,Easy,1,Rules
MLB,Who was the first unanimous MVP in MLB history,Frank Robinson,Hard,3,History
MLB,Which team has a rally monkey as a mascot,Los Angeles Angels,Easy,1,Quirky
MLB,What pitcher has the most no hitters,Nolan Ryan - 7,Easy,1,Records
MLB,Who was nicknamed The Big Unit,Randy Johnson,Easy,1,Nicknames
MLB,What is a balk,Illegal pitching motion advancing runners,Medium,2,Rules
MLB,Which player famously charged the mound at Nolan Ryan,Robin Ventura,Medium,2,Quirky
MLB,Who hit the longest recorded home run,Mickey Mantle estimated 565 feet,Hard,3,Quirky
