Sport,Question,Answer,Difficulty,Points,CategoryTag
Golf,Who has won the most PGA Tour wins in history,Sam Snead - 82,Easy,1,Records
Golf,Who has won the most major championships,Jack Nicklaus - 18,Easy,1,Records
Golf,Who is known as The Tiger Woods,Tiger Woods,Easy,1,Nicknames
Golf,What are the four major golf tournaments,Masters PGA Championship US Open The Open Championship,Easy,1,Events
Golf,Where is the Masters Tournament played,Augusta National Golf Club,Easy,1,Events
Golf,What is a hole in one,A tee shot that goes directly into the hole,Easy,1,Rules
Golf,Who has the most Masters wins,Tiger Woods and Jack Nicklaus tied at 6 for most era comparisons vary,Medium,2,Records
Golf,What is par in golf,Expected number of strokes for a hole,Easy,1,Rules
Golf,Who won the 2023 Masters Tournament,Jon Rahm,Easy,1,Events
Golf,What is a birdie,One stroke under par,Easy,1,Rules
Golf,Who won the most PGA Championships,Jack Nicklaus and Walter Hagen tied historically,Medium,2,Records
Golf,What is a bogey,One stroke over par,Easy,1,Rules
Golf,Who is known as Lefty,Phil Mickelson,Easy,1,Nicknames
Golf,What is the length of an 18 hole round typically,About 4 to 5 hours,Easy,1,Rules
Golf,Who has the most career PGA Tour money,Scottie Scheffler era leader varies,Medium,2,Records
Golf,What is a caddie,A person who carries a golfers bag and assists,Easy,1,Rules
Golf,Who won the 2022 Open Championship,Cameron Smith,Easy,1,Events
Golf,What is a eagle,Two strokes under par,Easy,1,Rules
Golf,Who is known as The Golden Bear,Jack Nicklaus,Easy,1,Nicknames
Golf,Which country hosts The Open Championship,United Kingdom,Easy,1,Events
Golf,Who has the most career PGA Tour wins among active players,PGA leader varies Rory McIlroy or others context dependent,Medium,2,Records
Golf,What is a double bogey,Two strokes over par,Easy,1,Rules
Golf,Who won the 2021 Masters Tournament,Hideki Matsuyama,Easy,1,Events
Golf,What is the green in golf,Area around the hole with short grass,Easy,1,Rules
Golf,Who has won the most US Opens,Willie Anderson Ben Hogan Bobby Jones and others tied historically,Hard,3,Records
Golf,What is a slice,A shot that curves sharply right for right handed players,Easy,1,Rules
Golf,Who won the 2020 Masters Tournament,Dustin Johnson,Easy,1,Events
Golf,What is a drive,First shot on a hole from tee box,Easy,1,Rules
Golf,Who is known as The Shark,Greg Norman,Easy,1,Nicknames
Golf,What is a handicap in golf,Number used to measure skill level,Easy,1,Rules
Golf,Who won the 2019 Masters Tournament,Tiger Woods,Easy,1,Events
Golf,What is a bunker,Sand filled hazard,Easy,1,Rules
Golf,Who has the longest recorded drive in PGA history,Michael Hoke Austin - 515 yards,Hard,3,Records
Golf,What is a fade,A controlled left to right shot,Easy,1,Rules
Golf,Who won the 2018 PGA Championship,Brooks Koepka,Easy,1,Events
Golf,What is a hook,A shot that curves left for right handed players,Easy,1,Rules
Golf,Who is known as The Big Easy,Ernie Els,Easy,1,Nicknames
Golf,What is match play,Scoring by holes won instead of total strokes,Medium,2,Rules
Golf,Who won the 2017 Masters Tournament,Sergio Garcia,Easy,1,Events
Golf,What is stroke play,Total number of strokes determines winner,Medium,2,Rules
Golf,Who has the most career European Tour wins,Seve Ballesteros or Lee Westwood depending on era context,Hard,3,Records
Golf,What is a mulligan,Practice shot not counted in official play,Easy,1,Quirky
Golf,Who won the 2016 Masters Tournament,Danny Willett,Easy,1,Events
Golf,What is the tee box,Starting area for each hole,Easy,1,Rules
Golf,Who is known as The Walrus,Craig Stadler,Easy,1,Nicknames
Golf,What is a scratch golfer,A golfer with zero handicap,Easy,1,Rules
Golf,Who won the 2015 Masters Tournament,Jordan Spieth,Easy,1,Events
Golf,What is the cut in golf tournaments,Reduction of field after certain rounds,Medium,2,Rules
