Sport,Question,Answer,Difficulty,Points,CategoryTag
College Basketball,Which school has won the most NCAA men's championships,UCLA - 11,Easy,1,Records
College Basketball,Who won the 2023 NCAA Men's Championship,UConn Huskies,Easy,1,Championships
College Basketball,Who is the all time leading scorer in NCAA Division I men's basketball,Pete Maravich - 3667,Easy,1,Records
College Basketball,What tournament determines the NCAA champion,March Madness,Easy,1,Events
College Basketball,Which team is known as the Blue Devils,Duke,Easy,1,Nicknames
College Basketball,Who won the 2022 NCAA Men's Championship,Kansas Jayhawks,Easy,1,Championships
College Basketball,What is the shot clock in college basketball,30 seconds,Easy,1,Rules
College Basketball,Which player is known as Zion,Zion Williamson,Easy,1,Nicknames
College Basketball,Who has the most NCAA tournament wins as a coach,John Wooden - UCLA era dominance,Medium,2,Records
College Basketball,Which school is known as the Tar Heels,North Carolina,Easy,1,Nicknames
College Basketball,Who won the 2018 NCAA Men's Championship,Virginia Cavaliers,Easy,1,Championships
College Basketball,What is a double double,Double digits in two statistical categories,Easy,1,Rules
College Basketball,Which player hit The Shot for North Carolina,Michael Jordan,Easy,1,Legends
College Basketball,Who is the all time NCAA women's scoring leader,Kelsey Plum - 3527,Medium,2,Records
College Basketball,Which school is known as the Wildcats,Kentucky,Easy,1,Nicknames
College Basketball,Who won the 2016 NCAA Men's Championship,Villanova Wildcats,Easy,1,Championships
College Basketball,What is a bracket in March Madness,Tournament prediction chart,Easy,1,Events
College Basketball,Which player is known as Coach K,K Mike Krzyzewski,Easy,1,Nicknames
College Basketball,Who has the most NCAA tournament appearances,Kansas Jayhawks,Medium,2,Records
College Basketball,What is a Cinderella team,Underdog team making deep tournament run,Easy,1,Quirky
College Basketball,Who won the 2015 NCAA Men's Championship,Duke Blue Devils,Easy,1,Championships
College Basketball,Which school is known as the Spartans,Michigan State,Easy,1,Nicknames
College Basketball,Who holds the record for most points in a single NCAA game,Frank Selvy - 100,Hard,3,Records
College Basketball,What is a one and done player,Player leaving for NBA after one year,Easy,1,Rules
College Basketball,Who won the 2021 NCAA Men's Championship,Baylor Bears,Easy,1,Championships
College Basketball,Which school is known as the Hoosiers,Indiana,Easy,1,Nicknames
College Basketball,Who has the most career NCAA assists,Ed Cota era leader UNC,Hard,3,Records
College Basketball,What is a fast break,Quick transition scoring play,Easy,1,Rules
College Basketball,Who won the 2019 NCAA Men's Championship,Virginia Cavaliers,Easy,1,Championships
College Basketball,Which player is known as The Brow,Anthony Davis,Easy,1,Nicknames
College Basketball,What is a technical foul,Unsportsmanlike conduct penalty,Easy,1,Rules
College Basketball,Who won the 2022 NCAA Women's Championship,South Carolina Gamecocks,Easy,1,Championships
College Basketball,Which player is known as Pistol Pete,Pete Maravich,Easy,1,Nicknames
College Basketball,Who has the most NCAA tournament wins as a player,Kemba Walker era leader context varies,Medium,2,Records
College Basketball,What is overtime in college basketball,Extra period after tie game,Easy,1,Rules
College Basketball,Which school is known as the Gators,Florida,Easy,1,Nicknames
College Basketball,Who won the 2014 NCAA Men's Championship,UConn Huskies,Easy,1,Championships
College Basketball,What is a three point line shot worth,3 points,Easy,1,Rules
College Basketball,Which coach has the most NCAA titles for women,Pat Summitt - 8,Easy,1,Records
College Basketball,Who is known as The Process,Joel Embiid (college at Kansas),Easy,1,Nicknames
College Basketball,Which school is known as the Buckeyes,Ohio State,Easy,1,Nicknames
College Basketball,Who won the 2008 NCAA Men's Championship,Kansas Jayhawks,Easy,1,Championships
College Basketball,What is a charge in basketball,Offensive foul for running into defender,Easy,1,Rules
College Basketball,Which player is known as Dame,Damian Lillard (Weber State),Easy,1,Nicknames
College Basketball,Who holds the record for most NCAA tournament points,Kemba Walker - 2011 run,Medium,2,Records
College Basketball,Which school is known as the Razorbacks,Arkansas,Easy,1,Nicknames
College Basketball,Who won the 2013 NCAA Men's Championship,Louisville Cardinals,Easy,1,Championships
College Basketball,What is a sixth man,A top bench player,Easy,1,Roles
College Basketball,Which team has the most Final Four appearances,North Carolina - 21,Medium,2,Records
College Basketball,Who is known as Swaggy P,Nick Young (USC),Easy,1,Nicknames
College Basketball,What is a buzzer beater,A shot made as time expires,Easy,1,Quirky
