Sport,Question,Answer,Difficulty,Points,CategoryTag
College Football,Which school has won the most national championships,Alabama Crimson Tide - 18,Easy,1,Records
College Football,Who won the first College Football Playoff National Championship,Ohio State,Easy,1,Championships
College Football,What trophy is awarded to the best college player,Heisman Trophy,Easy,1,Awards
College Football,Who won the 2023 College Football Playoff National Championship,Georgia Bulldogs,Easy,1,Championships
College Football,Which team is known as the Fighting Irish,Notre Dame,Easy,1,Nicknames
College Football,Who is the all time passing yards leader in NCAA history,BJ Symons - 5800+ single season record era leader case varies,Hard,3,Records
College Football,What conference is Alabama in,SEC,Easy,1,Conferences
College Football,Which player won the 2023 Heisman Trophy,Jayden Daniels,Easy,1,Awards
College Football,What is the length of a college football field,100 yards,Easy,1,Rules
College Football,Which team is known as The Buckeyes,Ohio State,Easy,1,Nicknames
College Football,Who won the 2022 CFP National Championship,Georgia Bulldogs,Easy,1,Championships
College Football,What does NCAA stand for,National Collegiate Athletic Association,Easy,1,Organizations
College Football,Which school is known as the Longhorns,Texas,Easy,1,Nicknames
College Football,Who has the most Heisman Trophy wins by a school,Ohio State USC Oklahoma tied historically,Medium,2,Awards
College Football,What is a touchdown worth,6 points,Easy,1,Rules
College Football,Which team plays in the Big House,Michigan Wolverines,Easy,1,Stadiums
College Football,Who won the 2019 CFP National Championship,Clemson,Easy,1,Championships
College Football,Which quarterback won the Heisman in 2019,Joe Burrow,Easy,1,Awards
College Football,What is overtime in college football,Alternating possessions from opponent 25 yard line,Medium,2,Rules
College Football,Which school is known as the Crimson Tide,Alabama,Easy,1,Nicknames
College Football,Who holds the record for most career rushing yards in NCAA,FBS record Ron Dayne 6900+,Hard,3,Records
College Football,Which team is known as the Trojans,USC,Easy,1,Nicknames
College Football,What is a safety worth,2 points,Easy,1,Rules
College Football,Who won the 2018 CFP National Championship,Alabama,Easy,1,Championships
College Football,Which conference is Ohio State in,Big Ten,Easy,1,Conferences
College Football,Who is known as The U,Miami Hurricanes,Easy,1,Nicknames
College Football,What is a redshirt player,A player who sits out a season to extend eligibility,Medium,2,Rules
College Football,Who won the 2017 CFP National Championship,Clemson,Easy,1,Championships
College Football,Which school is known for the 12th Man,Texas A&M,Easy,1,Nicknames
College Football,Who has the most career passing touchdowns in NCAA history,Case Keenum - 155,Hard,3,Records
College Football,What is a bowl game,Postseason college football game,Easy,1,Rules
College Football,Who won the 2016 CFP National Championship,Alabama,Easy,1,Championships
College Football,Which team is known as the Sooners,Oklahoma,Easy,1,Nicknames
College Football,Who is the all time NCAA receiving yards leader,Corey Davis college record era varies,Hard,3,Records
College Football,What is a field goal worth,3 points,Easy,1,Rules
College Football,Which school is known as the Ducks,Oregon,Easy,1,Nicknames
College Football,Who won the 2015 CFP National Championship,Ohio State,Easy,1,Championships
College Football,What is a Hail Mary pass,Long desperation pass at end of half or game,Easy,1,Quirky
College Football,Which team is known as the Seminoles,Florida State,Easy,1,Nicknames
College Football,Who has the most career wins as a college coach,Joe Paterno - 409,Medium,2,Records
College Football,What is targeting in football,Illegal helmet to helmet contact,Medium,2,Rules
College Football,Who won the 2014 CFP National Championship,Ohio State,Easy,1,Championships
College Football,Which school is known as the Volunteers,Tennessee,Easy,1,Nicknames
College Football,Who holds the record for most points in a college game,Howard Griffith era records vary,Hard,3,Records
College Football,What is a two point conversion,Play after touchdown worth 2 points,Easy,1,Rules
College Football,Which team is known as the Badgers,Wisconsin,Easy,1,Nicknames
College Football,Who won the 2013 BCS National Championship,Florida State,Easy,1,Championships
College Football,What is the AP Poll,Weekly ranking of top college teams,Medium,2,Organizations
College Football,Which school is known as the Wildcats,Kentucky,Easy,1,Nicknames
College Football,Who won the 2012 BCS National Championship,Alabama,Easy,1,Championships
College Football,What is a pick six,Interception returned for touchdown,Easy,1,Rules
