id,sport,question,answer,difficulty,points,category_tag
1,MLB,Who holds the record for most career home runs,Barry Bonds - 762,Easy,1,Records
2,MLB,Which team has won the most World Series titles,New York Yankees - 27,Easy,1,Championships
3,MLB,Who is known as The Sultan of Swat,Babe Ruth,Easy,1,Players
4,MLB,What year was the first World Series played,1903,Medium,2,History
5,MLB,Who holds the record for most career hits,Pete Rose - 4256,Easy,1,Records
6,MLB,Which pitcher has the most career wins,Cy Young - 511,Medium,2,Records
7,MLB,What team did Jackie Robinson debut with,Brooklyn Dodgers,Easy,1,History
8,MLB,Who broke Babe Ruths single season home run record in 1961,Roger Maris - 61,Medium,2,Records
9,MLB,Which player has the most stolen bases all time,Rickey Henderson - 1406,Easy,1,Records
10,MLB,What is the name of the MLB championship trophy,Commissioners Trophy,Easy,1,Awards
11,MLB,Which team ended the Curse of the Bambino,Boston Red Sox - 2004,Easy,1,History
12,MLB,Who was the first player unanimously elected to the Hall of Fame,Mariano Rivera,Medium,2,History
13,MLB,What is a perfect game,27 batters retired with no hits walks or errors,Easy,1,Rules
14,MLB,Who has the most career strikeouts,Nolan Ryan - 5714,Easy,1,Records
15,MLB,Which team plays at Wrigley Field,Chicago Cubs,Easy,1,Teams
16,MLB,Who won the Triple Crown in 2012,Miguel Cabrera,Medium,2,Records
17,MLB,Which team is known as the Bronx Bombers,New York Yankees,Easy,1,Nicknames
18,MLB,What does ERA stand for,Earned Run Average,Easy,1,Stats
19,MLB,Who was the youngest MVP in MLB history,Vida Blue - 22,Hard,3,Records
20,MLB,Which player hit 70 home runs in 1998,Mark McGwire,Medium,2,Records
21,MLB,Who is the all time saves leader,Mariano Rivera - 652,Easy,1,Records
22,MLB,What team drafted Derek Jeter,New York Yankees,Easy,1,Players
23,MLB,Who threw the fastest recorded pitch,Aroldis Chapman - 105.1 mph,Medium,2,Records
24,MLB,What is the distance between bases,90 feet,Easy,1,Rules
25,MLB,Who was the first African American player in MLB,Jackie Robinson,Easy,1,History
26,MLB,Which team has the longest World Series drought,Chicago Cubs - 108 years,Medium,2,History
27,MLB,Who hit the Shot Heard Round the World,Bobby Thomson,Hard,3,History
