Sport,Question,Answer,Difficulty,Points,CategoryTag
Soccer,Which country has won the most FIFA World Cups,Brazil - 5,Easy,1,Records
Soccer,Who is widely considered the greatest soccer player of all time,Pele,Easy,1,Legends
Soccer,Which player has won the most Ballon dOr awards,Lionel Messi - 8,Easy,1,Records
Soccer,What is the governing body of world soccer,FIFA,Easy,1,Organizations
Soccer,Which country hosted the 2022 World Cup,Qatar,Easy,1,Events
Soccer,Who is known as CR7,Cristiano Ronaldo,Easy,1,Nicknames
Soccer,Which club has won the most UEFA Champions League titles,Real Madrid - 15,Easy,1,Records
Soccer,What is a hat trick in soccer,Three goals in one match,Easy,1,Rules
Soccer,Which country won the 2018 World Cup,France,Easy,1,Events
Soccer,Who is Argentina's most famous modern player,Lionel Messi,Easy,1,Legends
Soccer,What is the length of a standard soccer match,90 minutes,Easy,1,Rules
Soccer,Which country won the first World Cup in 1930,Uruguay,Medium,2,History
Soccer,Who is the all time top scorer in men's international soccer,Cristiano Ronaldo - 128+,Easy,1,Records
Soccer,What is the penalty spot distance from goal,12 yards,Easy,1,Rules
Soccer,Which club is known as The Red Devils,Manchester United,Easy,1,Nicknames
Soccer,Who won the 2014 World Cup,Germany,Easy,1,Events
Soccer,Which country is famous for Tiki Taka style,Spain,Medium,2,Style
Soccer,Who scored the Hand of God goal,Diego Maradona,Easy,1,Legends
Soccer,What is offside in soccer,Attacker ahead of last defender when ball played,Medium,2,Rules
Soccer,Which club plays at Camp Nou,FC Barcelona,Easy,1,Teams
Soccer,Who has the most goals in World Cup history,Miroslav Klose - 16,Medium,2,Records
Soccer,What color card means a player is sent off,Red card,Easy,1,Rules
Soccer,Which country won Euro 2020,Italy,Easy,1,Events
Soccer,Who is known as The Egyptian King,Mohamed Salah,Easy,1,Nicknames
Soccer,Which club has the nickname The Gunners,Arsenal,Easy,1,Nicknames
Soccer,What is a clean sheet,No goals allowed in a match,Easy,1,Rules
Soccer,Who won the 2010 World Cup,Spain,Easy,1,Events
Soccer,Which player is known for the bicycle kick,Rivaldo (famous examples also Ronaldo CR7),Medium,2,Highlights
Soccer,What is VAR,Video Assistant Referee,Easy,1,Rules
Soccer,Which country has the most World Cup finals appearances,Germany - 8,Medium,2,Records
Soccer,Who is known as The Special One,Jose Mourinho,Easy,1,Nicknames
Soccer,What is a corner kick awarded for,Ball last touched by defending team crossing goal line,Easy,1,Rules
Soccer,Which club is based in Munich,Bayern Munich,Easy,1,Teams
Soccer,Who won the 2023 Champions League,Manchester City,Easy,1,Events
Soccer,What is a free kick,Restart after foul without penalty shot,Easy,1,Rules
Soccer,Which country won Copa America 2021,Argentina,Easy,1,Events
Soccer,Who holds the record for most goals in a calendar year,Lionel Messi - 91,Medium,2,Records
Soccer,Which club is known as The Old Lady,Juventus,Easy,1,Nicknames
Soccer,What is stoppage time,Extra time added for delays,Easy,1,Rules
Soccer,Who won the 2002 World Cup,Brazil,Easy,1,Events
Soccer,Which player is known as The Phenomenon,Ronaldo Nazario,Easy,1,Nicknames
Soccer,What is a brace,Two goals in one match,Easy,1,Rules
Soccer,Which country hosted the 2014 World Cup,Brazil,Easy,1,Events
Soccer,Who is the all time Premier League top scorer,Alan Shearer - 260,Medium,2,Records
Soccer,Which club is known as The Blues,Chelsea,Easy,1,Nicknames
Soccer,What is a bicycle kick,Overhead kick where player strikes ball mid air,Easy,1,Quirky
Soccer,Who won the 1998 World Cup,France,Easy,1,Events
Soccer,Which country is famous for total football system,Netherlands,Medium,2,Style
Soccer,Who is known as El Pibe de Oro,Diego Maradona,Easy,1,Nicknames
Soccer,What is a red card offense,Sending off for serious foul or misconduct,Medium,2,Rules
