Sport,Question,Answer,Difficulty,Points,CategoryTag
Tennis,Who has won the most Grand Slam men's singles titles,Novak Djokovic - 24,Easy,1,Records
Tennis,Who has won the most Grand Slam women's singles titles,Serena Williams - 23,Easy,1,Records
Tennis,What are the four Grand Slam tournaments,Australian Open French Open Wimbledon US Open,Easy,1,Events
Tennis,Which tournament is played on grass at the All England Club,Wimbledon,Easy,1,Events
Tennis,Who is known as The King of Clay,Rafael Nadal,Easy,1,Nicknames
Tennis,Who has won the most Wimbledon men's titles,Roger Federer - 8,Easy,1,Records
Tennis,What is a tennis match typically played to,Best of 3 or 5 sets,Easy,1,Rules
Tennis,Who won the most consecutive French Open titles,Rafael Nadal - 14,Easy,1,Records
Tennis,What is love in tennis scoring,Zero points,Easy,1,Rules
Tennis,Who is known as The Joker,Novak Djokovic,Easy,1,Nicknames
Tennis,Which surface is the US Open played on,Hard court,Easy,1,Events
Tennis,Who has the most career Grand Slam titles overall,Novak Djokovic - 24,Easy,1,Records
Tennis,What is a tiebreak,Special game to decide tied set,Easy,1,Rules
Tennis,Who won the 2019 Wimbledon men's singles final,Novak Djokovic,Easy,1,Events
Tennis,Who won the 2023 US Open women's singles,Coco Gauff,Easy,1,Events
Tennis,What is an ace in tennis,Serve not touched by opponent,Easy,1,Rules
Tennis,Who is known as The Swiss Maestro,Roger Federer,Easy,1,Nicknames
Tennis,Which country hosts the Australian Open,Australia,Easy,1,Events
Tennis,Who has the most career ATP titles,Jimmy Connors - 109,Medium,2,Records
Tennis,What is a break point,Chance to win opponent serve game,Easy,1,Rules
Tennis,Who won the 2022 Wimbledon men's singles,Novak Djokovic,Easy,1,Events
Tennis,Which player is known as Rafa,Rafael Nadal,Easy,1,Nicknames
Tennis,Who has the most Grand Slam women's titles in the Open Era,Serena Williams,Easy,1,Records
Tennis,What is a double fault,Two missed serves in a row,Easy,1,Rules
Tennis,Who won the 2023 Wimbledon men's singles,Carlos Alcaraz,Easy,1,Events
Tennis,Which surface is Roland Garros played on,Clay,Easy,1,Events
Tennis,Who is known as The Queen of Clay,Justine Henin (historical reference),Medium,2,Nicknames
Tennis,What is a baseline in tennis,Back boundary line of court,Easy,1,Rules
Tennis,Who has the fastest recorded serve in tennis,Sam Groth - 163 mph,Medium,2,Records
Tennis,Which player won 14 French Open titles,Rafael Nadal,Easy,1,Records
Tennis,What is a volley in tennis,Hit before ball bounces,Easy,1,Rules
Tennis,Who won the 2022 US Open men's singles,Carlos Alcaraz,Easy,1,Events
Tennis,Which country is Roger Federer from,Switzerland,Easy,1,Players
Tennis,Who has the most Wimbledon women's titles,Martina Navratilova - 9,Medium,2,Records
Tennis,What is a forehand,Stroke on dominant side,Easy,1,Rules
Tennis,Who won the 2021 US Open men's singles,Daniil Medvedev,Easy,1,Events
Tennis,Which player is known as Nole,Novak Djokovic,Easy,1,Nicknames
Tennis,What is a backhand,Stroke on non dominant side,Easy,1,Rules
Tennis,Who won the 2020 French Open men's singles,Rafael Nadal,Easy,1,Events
Tennis,Which tournament is known as the happiest slam,Australian Open,Easy,1,Quirky
Tennis,Who has the most career prize money in tennis,Novak Djokovic,Medium,2,Records
Tennis,What is deuce in tennis,Tied score at 40-40,Easy,1,Rules
Tennis,Who won the 2017 Australian Open men's singles,Roger Federer,Easy,1,Events
Tennis,Which player is known as The Rocket,Rod Laver,Easy,1,Nicknames
Tennis,Who won the 2020 US Open women's singles,Naomi Osaka,Easy,1,Events
Tennis,What is an unforced error,Missed shot not caused by opponent,Easy,1,Rules
Tennis,Which country is Rafael Nadal from,Spain,Easy,1,Players
Tennis,Who has the most consecutive weeks at world number 1,Novak Djokovic - 390+,Hard,3,Records
Tennis,What is a grand slam in tennis,Winning all four majors in one year,Easy,1,Rules
