Sport,Question,Answer,Difficulty,Points,CategoryTag
NFL,Who has the most career passing yards,Tom Brady - 89214,Easy,1,Records
NFL,Which team has won the most Super Bowls,New England Patriots - 6 tied,Easy,1,Championships
NFL,Who is the all time leader in rushing yards,Emmitt Smith - 18355,Easy,1,Records
NFL,What team completed the only perfect season,Miami Dolphins - 1972,Easy,1,History
NFL,Who has the most career touchdown passes,Tom Brady - 649,Easy,1,Records
NFL,Which team won Super Bowl I,Green Bay Packers,Medium,2,Championships
NFL,Who is known as The GOAT quarterback,Tom Brady,Easy,1,Nicknames
NFL,What is the length of an NFL field including end zones,120 yards,Easy,1,Rules
NFL,Who has the most career sacks,Bruce Smith - 200,Medium,2,Records
NFL,Which team is known as Americas Team,Dallas Cowboys,Easy,1,Nicknames
NFL,Who won the MVP award in 2018,Patrick Mahomes,Medium,2,Awards
NFL,What position does a quarterback play,Offense leader passing and directing plays,Easy,1,Rules
NFL,Who has the most career interceptions thrown,Brett Favre - 336,Hard,3,Records
NFL,Which team relocated from St Louis to Los Angeles,Los Angeles Rams,Easy,1,History
NFL,Who has the most career receiving yards,Jerry Rice - 22895,Easy,1,Records
NFL,What is a pick six,Interception returned for a touchdown,Easy,1,Rules
NFL,Who was the first overall pick in the 1998 NFL Draft,Peyton Manning,Medium,2,History
NFL,Which team has a helmet with no logo,Cleveland Browns,Easy,1,Quirky
NFL,Who has the most Super Bowl MVP awards,Tom Brady - 5,Medium,2,Records
NFL,What is the term for scoring 6 points by carrying the ball into the end zone,Touchdown,Easy,1,Rules
NFL,Who kicked the longest field goal in NFL history,Justin Tucker - 66 yards,Easy,1,Records
NFL,Which team drafted Aaron Rodgers,Green Bay Packers,Medium,2,Players
NFL,What does QB stand for,Quarterback,Easy,1,Stats
NFL,Who has the most career punt return touchdowns,Devin Hester - 14,Medium,2,Records
NFL,Which team won Super Bowl 50,Denver Broncos,Easy,1,Championships
NFL,Who is the all time leader in receptions,Jerry Rice - 1549,Easy,1,Records
NFL,What is a safety worth,2 points,Easy,1,Rules
NFL,Who was known as Sweetness,Walter Payton,Easy,1,Nicknames
NFL,Which team has the most losses in Super Bowl history,New England Patriots - 5 tied,Hard,3,Records
NFL,What is the name of the championship game,Super Bowl,Easy,1,Events
NFL,Who threw for 7 touchdowns in a single game tying the record,Drew Brees tied record,Hard,3,Records
NFL,Which team went 0 and 16 in 2008,Detroit Lions,Medium,2,History
NFL,What is the term for a fumbled ball recovered by the defense,Turnover,Easy,1,Rules
NFL,Who has the most career playoff wins as a quarterback,Tom Brady - 35,Medium,2,Records
NFL,Which player was known as The Refrigerator,William Perry,Easy,1,Nicknames
NFL,What is a two point conversion,Play after touchdown worth 2 points,Easy,1,Rules
NFL,Who won Offensive Rookie of the Year in 2020,Justin Herbert,Medium,2,Awards
NFL,Which team has a pirate logo,Tampa Bay Buccaneers,Easy,1,Teams
NFL,Who has the most career rushing touchdowns,Emmitt Smith - 164,Medium,2,Records
NFL,What is intentional grounding,Illegal pass to avoid sack with no receiver nearby,Medium,2,Rules
NFL,Who was the MVP of Super Bowl XLII,Eli Manning,Medium,2,Championships
NFL,Which team drafted Tom Brady,New England Patriots - 6th round,Easy,1,History
NFL,What is a hail mary pass,Long desperation pass at end of game,Easy,1,Quirky
NFL,Who has the most career tackles,Ray Lewis - 2059,Hard,3,Records
NFL,Which team moved from Oakland to Las Vegas,Las Vegas Raiders,Easy,1,History
NFL,What is the play clock duration,40 seconds,Easy,1,Rules
NFL,Who has the most career receiving touchdowns,Jerry Rice - 197,Easy,1,Records
NFL,Which team won Super Bowl LI,New England Patriots,Medium,2,Championships
NFL,Who was the first player to rush for 2000 yards in a season,O J Simpson - 2003,Medium,2,Records
NFL,What is a blindside block,Illegal block from behind outside vision,Medium,2,Rules
