Sport,Question,Answer,Difficulty,Points,CategoryTag
NHL,Who holds the record for most career goals,Wayne Gretzky - 894,Easy,1,Records
NHL,Which team has won the most Stanley Cups,Montreal Canadiens - 24,Easy,1,Championships
NHL,Who is known as The Great One,Wayne Gretzky,Easy,1,Nicknames
NHL,What trophy is awarded to the NHL champion,Stanley Cup,Easy,1,Awards
NHL,Who has the most career assists,Wayne Gretzky - 1963,Easy,1,Records
NHL,What year was the NHL founded,1917,Medium,2,History
NHL,Which team plays at Madison Square Garden,New York Rangers,Easy,1,Teams
NHL,Who has the most career points,Wayne Gretzky - 2857,Easy,1,Records
NHL,What is a hat trick,Three goals in one game,Easy,1,Rules
NHL,Who won the 2020 Stanley Cup,Tampa Bay Lightning,Easy,1,Championships
NHL,Which player is known as Super Mario,Mario Lemieux,Easy,1,Nicknames
NHL,How many periods are in a regulation NHL game,3,Easy,1,Rules
NHL,Who has the most career wins as a goalie,Martin Brodeur - 691,Medium,2,Records
NHL,Which team ended a 108 year championship drought similar to Cubs,Chicago Blackhawks 2010 ended long drought,Hard,3,History
NHL,Who won the 2019 Stanley Cup,St Louis Blues,Easy,1,Championships
NHL,What is icing in hockey,Shooting puck across two lines without touch,Medium,2,Rules
NHL,Who has the most career shutouts,Martin Brodeur - 125,Medium,2,Records
NHL,Which team is known as the Original Six,Boston Bruins Chicago Blackhawks Detroit Red Wings Montreal Canadiens New York Rangers Toronto Maple Leafs,Medium,2,History
NHL,Who has the most goals in a single season,Wayne Gretzky - 92,Medium,2,Records
NHL,What is a power play,Man advantage due to penalty,Easy,1,Rules
NHL,Who won the 2016 Stanley Cup,Pittsburgh Penguins,Easy,1,Championships
NHL,Which player is known as The Golden Jet,Bobby Hull,Easy,1,Nicknames
NHL,Who has the most penalty minutes,Tiger Williams - 3966,Hard,3,Records
NHL,What is offsides in hockey,Entering zone before puck,Easy,1,Rules
NHL,Who has the most career playoff goals,Wayne Gretzky - 122,Medium,2,Records
NHL,Which team has a mascot named Gritty,Philadelphia Flyers,Easy,1,Quirky
NHL,Who won the 2008 Stanley Cup,Detroit Red Wings,Easy,1,Championships
NHL,What is a slap shot,Powerful full swing shot,Easy,1,Rules
NHL,Who has the most career points by a defenseman,Ray Bourque - 1579,Hard,3,Records
NHL,Which team relocated from Quebec to Colorado,Colorado Avalanche,Medium,2,History
NHL,Who won the Hart Trophy in 2015,Carey Price,Hard,3,Awards
NHL,What is a shootout,One on one attempts to break tie,Easy,1,Rules
NHL,Who has the most career playoff points,Wayne Gretzky - 382,Medium,2,Records
NHL,Which player is known as Sid the Kid,Sidney Crosby,Easy,1,Nicknames
NHL,Who won the 2013 Stanley Cup,Chicago Blackhawks,Easy,1,Championships
NHL,What is a penalty kill,Defending while shorthanded,Easy,1,Rules
NHL,Who has the most career games played,Patrick Marleau - 1779,Medium,2,Records
NHL,Which team moved from Atlanta to Winnipeg,Winnipeg Jets,Medium,2,History
NHL,Who has the most career goals by a defenseman,Ray Bourque,Hard,3,Records
NHL,What is a blue line,Line dividing zones,Easy,1,Rules
NHL,Who won the 2001 Stanley Cup,Colorado Avalanche,Easy,1,Championships
NHL,Which player is known as The Dominator,Dominik Hasek,Easy,1,Nicknames
NHL,Who has the most career wins in a single season goalie,Martin Brodeur - 48 tied,Hard,3,Records
NHL,What is a wrist shot,Quick snap shot using wrists,Easy,1,Rules
NHL,Who won the 1994 Stanley Cup,New York Rangers,Easy,1,Championships
NHL,Which team has the longest Stanley Cup drought,Toronto Maple Leafs since 1967,Medium,2,History
NHL,Who has the most career assists by a defenseman,Ray Bourque,Hard,3,Records
NHL,What is a faceoff,Method to start play,Easy,1,Rules
NHL,Who won the 2021 Stanley Cup,Tampa Bay Lightning,Easy,1,Championships
NHL,Which player broke Gretzkys single season points record,No one Wayne Gretzky still holds it,Medium,2,Quirky
